"","isocntry","trans_name","female","age","religion","marital_status","personal_satis","ideology","contact_lgbti","social_class","occupation"
"1","BE","1","0",51,"Christians","Divorced","Satisfied",7,"No contact","Working class","Employed"
"2","BE","1","1",62,"Christians","Married","Satisfied",8,"No contact","Middle class","Unemployed"
"3","BE","1","1",38,"Not religious","Married","Satisfied",4,"Contact","Working class","Employed"
"4","BE","1","0",29,"Not religious","Married","Satisfied",10,"Contact","High class","Employed"
"5","BE","1","1",63,"Christians","Married","Satisfied",8,"No contact","High class","Unemployed"
"6","BE","1","1",41,"Not religious","Married","Satisfied",7,"No contact","Middle class","Employed"
"7","BE","1","0",48,"Not religious","Married","Satisfied",3,"No contact","Middle class","Employed"
"8","BE","0","0",88,"Christians","Divorced","Satisfied",9,"No contact","Middle class","Retired"
"9","BE","1","1",44,"Christians","Married","Satisfied",3,"Contact","Middle class","Unemployed"
"10","BE","1","1",45,"Christians","Married","Satisfied",8,"Contact","High class","Employed"
"11","BE","1","1",54,"Muslims","Married","Satisfied",9,"Contact","Middle class","Retired"
"12","BE","0","0",34,"Christians","Married","Satisfied",1,"Contact","High class","Self employed"
"13","BE","1","1",23,"Christians","Single","Satisfied",1,"No contact","Working class","Student"
"14","BE","1","1",49,"Muslims","Single","Satisfied",3,"Contact","Working class","Unemployed"
"15","BE","0","1",46,"Not religious","Divorced","Satisfied",6,"No contact","Middle class","Unemployed"
"16","BE","1","0",51,"Not religious","Married","Satisfied",9,"Contact","High class","Employed"
"17","BE","1","1",25,"Christians","Single","Satisfied",10,"Contact","Middle class","Student"
"18","BE","1","0",33,"Christians","Married","Satisfied",1,"Contact","Middle class","Employed"
"19","BE","1","0",27,"Not religious","Single","Satisfied",3,"Contact","Middle class","Employed"
"20","BE","0","1",61,"Christians","Divorced","Satisfied",1,"No contact","Middle class","Retired"
"21","BE","1","0",57,"Orthodox Christian","Single","Satisfied",3,"No contact","Working class","Retired"
"22","BE","0","1",58,"Muslims","Married","Satisfied",1,"Contact","Middle class","Retired"
"23","BE","1","1",48,"Not religious","Married","Satisfied",2,"Contact","Middle class","Employed"
"24","BE","1","0",50,"Orthodox Christian","Single","Not satisfied",8,"No contact","Middle class","Employed"
"25","BE","1","1",48,"Orthodox Christian","Married","Satisfied",5,"Contact","High class","Employed"
"26","BE","1","0",60,"Not religious","Single","Satisfied",1,"No contact","Working class","Employed"
"27","BE","1","0",49,"Christians","Single","Satisfied",6,"Contact","Middle class","Employed"
"28","BE","1","0",49,"Not religious","Single","Satisfied",6,"Contact","Working class","Employed"
"29","BE","1","0",28,"Christians","Single","Satisfied",3,"No contact","Working class","Employed"
"30","BE","1","1",32,"Christians","Single","Satisfied",8,"Contact","Working class","Employed"
