"","isocntry","trans_name","female","age","religion","marital_status","personal_satis","ideology","contact_lgbti","social_class","occupation","rain_ind","self_determination","gini","gdp_pc"
"1","BE",1,"0","51","Christians","Divorced","Satisfied",7,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"2","BE",1,"1","62","Christians","Married","Satisfied",8,"No contact","Middle class","Unemployed",78.47,"1",26.6,44731.0420983801
"3","BE",1,"1","38","Not religious","Married","Satisfied",4,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"4","BE",1,"0","29","Not religious","Married","Satisfied",10,"Contact","High class","Employed",78.47,"1",26.6,44731.0420983801
"5","BE",1,"1","63","Christians","Married","Satisfied",8,"No contact","High class","Unemployed",78.47,"1",26.6,44731.0420983801
"6","BE",1,"1","41","Not religious","Married","Satisfied",7,"No contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"7","BE",1,"0","48","Not religious","Married","Satisfied",3,"No contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"8","BE",0,"0","88","Christians","Divorced","Satisfied",9,"No contact","Middle class","Retired",78.47,"1",26.6,44731.0420983801
"9","BE",1,"1","44","Christians","Married","Satisfied",3,"Contact","Middle class","Unemployed",78.47,"1",26.6,44731.0420983801
"10","BE",1,"1","45","Christians","Married","Satisfied",8,"Contact","High class","Employed",78.47,"1",26.6,44731.0420983801
"11","BE",1,"1","54","Muslims","Married","Satisfied",9,"Contact","Middle class","Retired",78.47,"1",26.6,44731.0420983801
"12","BE",0,"0","34","Christians","Married","Satisfied",1,"Contact","High class","Self employed",78.47,"1",26.6,44731.0420983801
"13","BE",1,"1","23","Christians","Single","Satisfied",1,"No contact","Working class","Student",78.47,"1",26.6,44731.0420983801
"14","BE",1,"1","49","Muslims","Single","Satisfied",3,"Contact","Working class","Unemployed",78.47,"1",26.6,44731.0420983801
"15","BE",0,"1","46","Not religious","Divorced","Satisfied",6,"No contact","Middle class","Unemployed",78.47,"1",26.6,44731.0420983801
"16","BE",1,"0","51","Not religious","Married","Satisfied",9,"Contact","High class","Employed",78.47,"1",26.6,44731.0420983801
"17","BE",1,"1","25","Christians","Single","Satisfied",10,"Contact","Middle class","Student",78.47,"1",26.6,44731.0420983801
"18","BE",1,"0","33","Christians","Married","Satisfied",1,"Contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"19","BE",1,"0","27","Not religious","Single","Satisfied",3,"Contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"20","BE",0,"1","61","Christians","Divorced","Satisfied",1,"No contact","Middle class","Retired",78.47,"1",26.6,44731.0420983801
"21","BE",1,"0","57","Orthodox Christian","Single","Satisfied",3,"No contact","Working class","Retired",78.47,"1",26.6,44731.0420983801
"22","BE",0,"1","58","Muslims","Married","Satisfied",1,"Contact","Middle class","Retired",78.47,"1",26.6,44731.0420983801
"23","BE",1,"1","48","Not religious","Married","Satisfied",2,"Contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"24","BE",1,"0","50","Orthodox Christian","Single","Not satisfied",8,"No contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"25","BE",1,"1","48","Orthodox Christian","Married","Satisfied",5,"Contact","High class","Employed",78.47,"1",26.6,44731.0420983801
"26","BE",1,"0","60","Not religious","Single","Satisfied",1,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"27","BE",1,"0","49","Christians","Single","Satisfied",6,"Contact","Middle class","Employed",78.47,"1",26.6,44731.0420983801
"28","BE",1,"0","49","Not religious","Single","Satisfied",6,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"29","BE",1,"0","28","Christians","Single","Satisfied",3,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"30","BE",1,"1","32","Christians","Single","Satisfied",8,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"31","BE",1,"1","17","Christians","Single","Not satisfied",7,"Contact","Middle class","Student",78.47,"1",26.6,44731.0420983801
"32","BE",0,"1","54","Christians","Married","Satisfied",5,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"33","BE",1,"0","20","Not religious","Single","Satisfied",5,"Contact","Middle class","Student",78.47,"1",26.6,44731.0420983801
"34","BE",1,"1","19","Not religious","Single","Satisfied",2,"Contact","Middle class","Student",78.47,"1",26.6,44731.0420983801
"35","BE",1,"0","23","Not religious","Single","Satisfied",4,"Contact","Middle class","Student",78.47,"1",26.6,44731.0420983801
"36","BE",0,"0","45","Christians","Married","Satisfied",5,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"37","BE",0,"0","57","Orthodox Christian","Married","Satisfied",5,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"38","BE",0,"1","34","Christians","Married","Satisfied",5,"Contact","Working class","Unemployed",78.47,"1",26.6,44731.0420983801
"39","BE",1,"0","55","Christians","Single","Satisfied",5,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"40","BE",0,"1","46","Christians","Single","Not satisfied",7,"Contact","Working class","Unemployed",78.47,"1",26.6,44731.0420983801
"41","BE",0,"1","42","Christians","Married","Satisfied",5,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"42","BE",0,"1","30","Muslims","Single","Satisfied",5,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"43","BE",1,"1","42","Christians","Married","Satisfied",5,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"44","BE",0,"1","38","Muslims","Married","Not satisfied",5,"Contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
"45","BE",0,"0","35","Muslims","Single","Satisfied",4,"No contact","Working class","Employed",78.47,"1",26.6,44731.0420983801
